uniqueID,IDALL,Regul_services_average_percent_transf,Regul_services_average,"Impact of intensification on: 
 Climate regulation (reduction in GHG emissions - reduction = good)","Impact of intensification on: 
 Disease regulation (<1 = good, reduction in disease)","Impact of intensification on: 
 Weed/pest regulation (reduction in weed/pest biomass or weed dry matter)","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)","Impact of intensification on: 
 Water purification",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
89,251,5.81255,1.0581255,NA,NA,NA,1.0581255,NA,1.6,1.6,NA,NA,NA,NA,Neutral,Mix-Mix
90,251,-3.85488,0.9614512,NA,NA,NA,0.9614512,NA,1.45,1.45,NA,NA,NA,NA,Neutral,Mix-Mix
91,251,-3.34089,0.9665911,NA,NA,NA,0.9665911,NA,1.59,1.59,NA,NA,NA,NA,Neutral,Mix-Mix
92,251,10.30234,1.1030234,NA,NA,NA,1.1030234,NA,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
93,251,5.81255,1.0581255,NA,NA,NA,1.0581255,NA,1.38,1.38,NA,NA,NA,NA,Neutral,Win-Mix
94,251,-3.85488,0.9614512,NA,NA,NA,0.9614512,NA,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
95,251,-3.34089,0.9665911,NA,NA,NA,0.9665911,NA,1.39,1.39,NA,NA,NA,NA,Neutral,Mix-Mix
96,251,10.30234,1.1030234,NA,NA,NA,1.1030234,NA,1.4,1.4,NA,NA,NA,NA,Neutral,Win-Mix
97,251,5.81255,1.0581255,NA,NA,NA,1.0581255,NA,1.6,1.6,NA,NA,NA,NA,Neutral,Win-Mix
98,251,-3.85488,0.9614512,NA,NA,NA,0.9614512,NA,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
99,251,-3.34089,0.9665911,NA,NA,NA,0.9665911,NA,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
100,251,10.30234,1.1030234,NA,NA,NA,1.1030234,NA,1.56,1.56,NA,NA,NA,NA,Neutral,Win-Mix
124,295,6.52174,1.0652174,NA,NA,NA,1.0652174,NA,1.1794444,1.1794444,NA,NA,NA,NA,,Mix-Mix
126,309,33.6898396,1.336898396,1.336898396,NA,NA,NA,NA,1.655508404,1.783105023,1.527911785,Positive,NA,NA,,Win-Mix
139,356,17.25,1.1725,1.22,NA,NA,NA,1.125,1.23,NA,1.23,NA,NA,NA,,Win-Mix
140,356,23,1.23,1.25,NA,NA,NA,1.21,1.19,NA,1.19,NA,NA,NA,,Win-Mix
142,366,-2.9761905,0.970238095,0.970238095,NA,NA,NA,NA,2.8076923,NA,NA,NA,NA,NA,2.8076923,Mix-Mix
143,366,-3.968254,0.96031746,0.96031746,NA,NA,NA,NA,2.2115385,NA,NA,NA,NA,NA,2.2115385,Mix-Mix
239,514,29.78723404,1.29787234,NA,NA,Positive,1.29787234,NA,1.4,1.4,NA,NA,NA,NA,,Win-Mix
278,575,13.09899723,1.130989972,1.037209302,NA,NA,1.224770642,NA,1.24,1.24,NA,NA,NA,NA,,Win-Mix
299,613,-0.746279891,0.992537201,NA,NA,NA,0.992537201,NA,1.033457249,1.033457249,NA,NA,NA,NA,,Mix-Win
303,618,0,1,NA,NA,NA,1,NA,1.0991167,1.1608008,1.0374326,NA,NA,NA,,Mix-Win
310,626,36.47058824,1.364705882,NA,NA,1.364705882,NA,NA,1.043253341,1.043253341,NA,NA,NA,NA,,Win-Win
311,626,68.12834225,1.681283422,NA,NA,1.681283422,NA,NA,1.385831298,1.385831298,NA,NA,NA,NA,,Win-Win
316,666,0,1,NA,NA,1,NA,NA,1.62,1.62,NA,Positive,NA,NA,,Mix-Win
320,673,10.86956522,1.108695652,1.108695652,NA,NA,NA,NA,1.066666667,NA,1.066666667,NA,NA,NA,,Win-Mix
323,682,21.95447625,1.219544763,1.276964184,NA,NA,1.162125341,NA,1.454545455,1.454545455,NA,NA,NA,NA,,Win-Win
324,699,59.76458155,1.597645815,NA,NA,NA,1.597645815,NA,1.633333333,1.633333333,NA,NA,NA,NA,,Win-Win
351,744,7.96,1.0796,NA,NA,1.0796,NA,NA,1.54,1.54,NA,NA,NA,NA,,Win-Mix
352,744,28.49,1.2849,NA,NA,1.2849,NA,NA,1.68,1.68,NA,NA,NA,NA,,Win-Mix
353,744,21.29,1.2129,NA,NA,1.2129,NA,NA,1.59,1.59,NA,NA,NA,NA,,Win-Mix
354,744,8.03,1.0803,NA,NA,1.0803,NA,NA,1.6,1.6,NA,NA,NA,NA,,Win-Mix
355,744,18.77,1.1877,NA,NA,1.1877,NA,NA,1.54,1.54,NA,NA,NA,NA,,Win-Mix
358,757,48.63188505,1.486318851,NA,NA,1.486318851,NA,NA,3.341666667,3.341666667,NA,NA,NA,NA,,Win-Win
379,779,1.18708164,1.011870816,1.088050314,NA,NA,0.935691318,NA,1.14,1.14,NA,NA,NA,NA,,Mix-Mix
380,779,-0.560173108,0.994398269,1.06918239,NA,NA,0.919614148,NA,1.13,1.13,NA,NA,NA,NA,,Mix-Mix
389,785,31.91157347,1.319115735,NA,NA,1.319115735,NA,NA,1.24,1.24,NA,NA,NA,NA,,Win-Win
