uniqueID,IDALL,All_services_average_percent_transf,All_services_average,Impact of intensification on the availability of: Food [ratio of treatment/control: intercrop/rotation:solecrop],Impact of intensification on the availability of: Freshwater/drinking water,Impact of intensification on the availability of: Fiber,Impact of intensification on the availability of: Biochemicals,Impact of intensification on: Genetic Resources/ diversity,"Impact of intensification on: 
 Climate regulation (reduction in GHG emissions - reduction = good)","Impact of intensification on: 
 Disease regulation (<1 = good, reduction in disease)","Impact of intensification on: 
 Weed/pest regulation (reduction in weed/pest biomass or weed dry matter)","Impact of intensification on: 
 Water regulation (e.g. runoff, water use efficiency, infiltration)","Impact of intensification on: 
 Water purification",Impact of intensification on: ES supporting Soil formation/flood prevention,Impact of intensification on: ES Supporting Nutrient cycling,"Impact of intensification on: 
 ES supporting Primary production (e.g. total biomass)","Impact of intensification on: 
 Biodiversity Species: occurrence/abundance - Diversity, composition,Abundance, behaviour","Impact of intensification on: 
 Biodiversity- Ecosystem ondition/ecosystem quality","Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)","Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Nonecon_wellbeing_average,"Impact of intensification on: natural capital (land, water resources, livestock)","Impact of intensification on: 
 Health",Impact of intensification on: Food security,"Impact of intensification on: 
 Justice",Impacts of intensification on: Property rights,Employment,"Combined 
 ecological-social outcome"
31,64,45.185,1.45185,1.1537,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.225,1.225,NA,NA,NA,NA,,Win-Win
32,64,-24.215875,0.75784125,1.0727,NA,NA,NA,NA,NA,NA,0.4429825,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.375,1.375,NA,NA,NA,NA,,Mix-Win
36,74,41.76446667,1.417644667,1.574,NA,NA,NA,NA,NA,NA,1.58,NA,NA,NA,NA,1.098934,NA,NA,NA,NA,1.21,1.21,NA,Positive ,NA,NA,,Win-Win
38,97,21.022727,1.21022727,1.21022727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,1.58,NA,NA,NA,NA,,Win-Win
39,97,25.568182,1.25568182,1.25568182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,,Win-Win
40,97,30.487805,1.30487805,1.30487805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.36,NA,NA,NA,NA,,Win-Win
41,97,16,1.16,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,1.31,NA,NA,NA,NA,,Win-Win
42,99,21.98419165,1.219841917,1.41898527,NA,NA,NA,NA,1.307392996,NA,NA,NA,NA,NA,1.0637037,NA,NA,NA,NA,1.0892857,1.037741,1.037741,NA,NA,NA,NA,,Win-Mix
43,99,5.165243325,1.051652433,1.08919804,NA,NA,NA,NA,0.953307393,NA,NA,NA,NA,NA,1.0977778,NA,NA,NA,NA,1.0663265,1.2830579,1.2830579,NA,NA,NA,NA,,Mix-Mix
47,105,70.11820967,1.701182097,1.29221689,NA,NA,NA,NA,0.9878,NA,NA,2.8235294,NA,NA,NA,NA,NA,NA,NA,NA,1.2742616,1.2742616,NA,NA,NA,NA,,Mix-Mix
48,105,84.449741,1.84449741,1.38057723,NA,NA,NA,NA,0.932,NA,NA,3.220915,NA,NA,NA,NA,NA,NA,NA,NA,1.3769339,1.3769339,NA,NA,NA,NA,,Mix-Mix
49,106,33.3822566,1.333822566,1.68656716,1.05334,NA,NA,NA,1.408573104,NA,NA,1.18681,NA,NA,NA,NA,NA,NA,NA,NA,1.7145811,1.7621622,NA,NA,NA,NA,1.667,Win-Mix
50,106,41.44176125,1.414417613,1.91791045,1.03525,NA,NA,NA,1.46,NA,NA,1.24451,NA,NA,NA,NA,NA,NA,NA,NA,1.8256757,1.7513514,NA,NA,NA,NA,1.9,Win-Mix
51,106,36.80230225,1.368023023,1.78358209,1.07335,NA,NA,NA,1.28,NA,NA,1.33516,NA,NA,NA,NA,NA,NA,NA,NA,1.8110946,1.8891892,NA,NA,NA,NA,1.733,Win-Mix
52,107,205.932615,3.05932615,4.29954955,NA,NA,NA,NA,1.81910275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00501285,1.8100257,NA,NA,NA,NA,2.2,Win-Mix
53,107,83.0228748,1.830228748,2.79504505,NA,NA,NA,NA,0.865412446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9451157,1.6902314,NA,NA,NA,NA,2.2,Mix-Mix
54,118,58.5,1.585,1.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7116667,1.7116667,NA,NA,NA,NA,,Win-Win
66,176,4.835,1.04835,1.0967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1.505,1.505,NA,NA,NA,NA,,Mix-Mix
73,198,3.238,1.03238,1.03238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,1.28,NA,NA,NA,NA,,Win-Win
74,198,0.097,1.00097,1.00097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.255,1.255,NA,NA,NA,NA,,Win-Mix
83,214,7.234688667,1.072346887,1.19721386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.009617,1.0102098,NA,NA,NA,NA,1.2733333,1.2733333,NA,NA,NA,NA,,Win-Win
85,220,34.505588,1.34505588,1.34505588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,1.59,NA,Positive,NA,NA,,Win-Mix
86,220,7.472494,1.07472494,1.07472494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,NA,Positive,NA,NA,,Win-Mix
89,251,16.09344228,1.160934423,0.914141414,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,1.051495,1.6041667,NA,NA,NA,NA,1.1767435,1.6,1.6,NA,NA,NA,NA,Neutral,Mix-Mix
90,251,-1.650139131,0.983498609,0.843434343,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,1.0830565,1.0625,NA,NA,NA,NA,0.967051,1.45,1.45,NA,NA,NA,NA,Neutral,Mix-Mix
91,251,2.37567497,1.02375675,0.848484848,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,1.0472868,1.2083333,NA,NA,NA,NA,1.0480877,1.59,1.59,NA,NA,NA,NA,Neutral,Mix-Mix
92,251,11.80738887,1.118073889,0.843434343,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,1,1.5208333,NA,NA,NA,NA,1.1230784,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
93,251,12.27341111,1.122734111,1.133333333,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,NA,NA,NA,NA,NA,NA,1.1767435,1.38,1.38,NA,NA,NA,NA,Neutral,Win-Mix
94,251,0.672295556,1.006722956,1.091666667,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,NA,NA,NA,NA,NA,NA,0.967051,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
95,251,-0.899595556,0.991004044,0.958333333,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,NA,NA,NA,NA,NA,NA,1.0480877,1.39,1.39,NA,NA,NA,NA,Neutral,Mix-Mix
96,251,8.092282222,1.080922822,1.016666667,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,NA,NA,NA,NA,NA,NA,1.1230784,1.4,1.4,NA,NA,NA,NA,Neutral,Win-Mix
97,251,15.1623,1.151623,1.22,NA,NA,NA,NA,NA,NA,NA,1.0581255,NA,NA,NA,NA,NA,NA,NA,1.1767435,1.6,1.6,NA,NA,NA,NA,Neutral,Win-Mix
98,251,-0.605482222,0.993945178,1.053333333,NA,NA,NA,NA,NA,NA,NA,0.9614512,NA,NA,NA,NA,NA,NA,NA,0.967051,1.44,1.44,NA,NA,NA,NA,Neutral,Mix-Mix
99,251,0.489293333,1.004892933,1,NA,NA,NA,NA,NA,NA,NA,0.9665911,NA,NA,NA,NA,NA,NA,NA,1.0480877,1.5,1.5,NA,NA,NA,NA,Neutral,Mix-Mix
100,251,9.758948889,1.097589489,1.066666667,NA,NA,NA,NA,NA,NA,NA,1.1030234,NA,NA,NA,NA,NA,NA,NA,1.1230784,1.56,1.56,NA,NA,NA,NA,Neutral,Win-Mix
101,258,20.427,1.20427,1.20427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,1.2039,1.2039,NA,NA,NA,NA,,Win-Win
110,282,-8.72093,0.9127907,0.9127907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,1.33,1.33,NA,NA,NA,NA,,Mix-Mix
111,282,8.67052,1.0867052,1.0867052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,1.26,1.26,NA,NA,NA,NA,,Win-Mix
112,282,-10.365854,0.89634146,0.89634146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,1.35,1.35,NA,NA,NA,NA,,Mix-Mix
113,282,12.631579,1.12631579,1.12631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,1.44,1.44,NA,NA,NA,NA,,Win-Mix
114,282,24.444444,1.24444444,1.24444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Mix
115,282,4.938272,1.04938272,1.04938272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Mix
124,295,54.995796,1.54995796,Mixed ,NA,NA,NA,NA,NA,NA,NA,1.0652174,NA,1.8722222,1.8142857,1.24,NA,NA,NA,1.7580645,1.1794444,1.1794444,NA,NA,NA,NA,,Mix-Mix
126,309,235.4989524,3.354989524,5.894736842,NA,NA,NA,NA,1.336898396,NA,NA,NA,NA,NA,NA,2.833333333,NA,NA,NA,NA,1.655508404,1.783105023,1.527911785,Positive,NA,NA,,Win-Mix
128,320,22.27016703,1.22270167,1.232107438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.213295903,NA,NA,NA,NA,NA,1.026363636,1.026363636,NA,NA,NA,NA,,Win-Mix
129,321,42.72,1.4272,1.4272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,2.116625,2.116625,NA,Positive,NA,NA,,Win-Win
136,338,58.02779537,1.580277954,1.897305907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26325,NA,NA,NA,NA,1.155,1.155,NA,NA,NA,NA,,Win-Win
137,348,5.098435134,1.050984351,1.050984351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.352941176,Positive,1.352941176,Positive,NA,NA,,Win-Win
138,348,7.218576477,1.072185765,1.072185765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529411765,Positive,1.529411765,Positive,NA,NA,,Win-Win
139,356,11.87471961,1.118747196,1.087483176,NA,NA,NA,NA,1.22,NA,NA,NA,1.125,NA,1.21,NA,NA,1.06,1.01,NA,1.23,NA,1.23,NA,NA,NA,,Win-Mix
140,356,22.44773441,1.224477344,1.306864065,NA,NA,NA,NA,1.25,NA,NA,NA,1.21,NA,1.24,NA,NA,1.17,1.17,NA,1.19,NA,1.19,NA,NA,NA,,Win-Mix
142,366,26.77460063,1.267746006,1.78821363,NA,NA,NA,NA,0.970238095,NA,NA,NA,NA,NA,1.0352397,1.2772926,NA,NA,NA,NA,2.8076923,NA,NA,NA,NA,NA,2.8076923,Mix-Mix
143,366,36.5229365,1.365229365,1.6519337,NA,NA,NA,NA,0.96031746,NA,NA,NA,NA,NA,0.938186,1.9104803,NA,NA,NA,NA,2.2115385,NA,NA,NA,NA,NA,2.2115385,Mix-Mix
144,367,7.6027545,1.076027545,1.22146239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9305927,NA,NA,NA,NA,1.495,1.495,NA,NA,NA,NA,,Mix-Win
145,367,-0.04694,0.9995306,1.1734072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825654,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Mix-Win
146,367,3.0524925,1.030524925,1.28172255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7793273,NA,NA,NA,NA,1.38,1.38,NA,NA,NA,NA,,Mix-Win
149,388,12.9903775,1.129903775,1.232420429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.027387121,NA,NA,NA,NA,NA,1.250038023,1.250038023,NA,NA,NA,NA,,Win-Mix
150,388,2.849740933,1.028497409,1.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914137676,NA,NA,NA,NA,NA,1.2,1.2,NA,NA,NA,NA,,Mix-Mix
152,396,-12.825705,0.87174295,0.87174295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,1.22,NA,NA,NA,NA,,Lose-Mix
153,396,-16.106386,0.83893614,0.83893614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.24,1.24,NA,NA,NA,NA,,Lose-Mix
154,396,-2.992665,0.97007335,0.97007335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,1.54,NA,NA,NA,NA,,Lose-Win
155,404,13.155038,1.13155038,1.11624326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1468575,NA,NA,NA,NA,1.22,1.22,NA,Positive,NA,NA,,Win-Win
160,409,128.406936,2.28406936,2.28406936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.305,1.305,Positive,NA,NA,NA,,Win-Win
164,412,12.88180895,1.12881809,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.097636179,NA,NA,NA,NA,NA,0.9358,0.9358,NA,NA,NA,NA,,Win-Mix
165,413,8.0736115,1.080736115,1.04836783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1131044,NA,NA,NA,NA,NA,0.9729886,0.9729886,NA,NA,NA,NA,,Win-Mix
166,418,51.20712592,1.512071259,1.979698074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.044444444,NA,NA,NA,NA,NA,1.177966102,NA,1.177966102,NA,NA,NA,,Win-Win
167,418,22.87638567,1.228763857,1.518638824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938888889,NA,NA,NA,NA,NA,1.177966102,NA,1.177966102,NA,NA,NA,,Mix-Mix
168,418,29.30441715,1.293044171,1.57284331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.013245033,NA,NA,NA,NA,NA,1.072289157,NA,1.072289157,NA,NA,NA,,Win-Win
169,421,37.05419,1.3705419,1.3705419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.945,0.945,NA,NA,NA,NA,,Win-Mix
171,421,4.201681,1.04201681,1.04201681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025,1.025,NA,NA,NA,NA,,Win-Mix
173,421,13.392541,1.13392541,1.13392541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165,1.165,NA,NA,NA,NA,,Win-Win
180,428,20,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.889946,NA,NA,1.889946,NA,NA,,Win-Mix
181,428,35.714286,1.35714286,1.35714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5800778,NA,NA,1.5800778,NA,NA,,Win-Mix
217,477,39.0599657,1.390599657,1.44924055,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.331958763,NA,NA,NA,NA,NA,NA,1.266666667,NA,NA,NA,NA,NA,1.266666667,Win-Win
228,505,-3.307529909,0.966924701,0.966924701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165,1.165,NA,NA,NA,NA,,Lose-Win
229,505,26.5306122,1.265306122,1.265306122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.415,1.415,NA,NA,NA,NA,,Win-Win
230,505,27.79732583,1.277973258,1.277973258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Win
231,505,25.12315271,1.251231527,1.251231527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.505,1.505,NA,NA,NA,NA,,Win-Win
232,505,3.870513723,1.038705137,1.038705137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.155,1.155,NA,NA,NA,NA,,Win-Win
239,514,16.56585802,1.16565858,1.03344482,NA,NA,NA,NA,NA,NA,Positive,1.29787234,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.4,NA,NA,NA,NA,,Win-Mix
240,514,33.645833,1.33645833,1.33645833,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.925,1.925,NA,Positive,NA,NA,,Win-Win
241,521,37.668902,1.37668902,1.37668902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9441667,1.9441667,NA,NA,NA,NA,,Win-Win
242,521,71.3,1.713,1.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0016667,2.0016667,NA,NA,NA,NA,,Win-Win
243,525,-1.111111111,0.988888889,0.988888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.242902208,NA,NA,1.242902208,NA,NA,,Lose-Win
244,528,9.398496,1.09398496,1.09398496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,1.21,,NA,NA,NA,,Win-Win
245,528,2.030075,1.02030075,1.02030075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.15,,NA,NA,NA,,Win-Mix
246,528,35.413534,1.35413534,1.35413534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.245,1.245,,NA,NA,NA,,Win-Win
247,529,79.481638,1.79481638,1.79481638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6866667,1.6866667,NA,NA,NA,NA,,Win-Win
248,529,72.745847,1.72745847,1.72745847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6866667,1.6866667,NA,NA,NA,NA,,Win-Win
249,529,51.869078,1.51869078,1.51869078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2833333,1.2833333,NA,NA,NA,NA,,Win-Win
250,530,46.98382,1.4698382,1.4698382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,1.46,NA,NA,NA,NA,,Win-Win
251,530,41.27647,1.4127647,1.4127647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,1.45,NA,NA,NA,NA,,Win-Win
252,530,115.94388,2.1594388,2.1594388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,1.49,NA,NA,NA,NA,,Win-Win
253,539,32.5788098,1.325788098,1.082495294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,0.954869,1.23,1.23,NA,NA,NA,NA,,Mix-Mix
254,539,147.2018001,2.472018001,1.229925737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,NA,NA,NA,1.026128266,1.23,1.23,NA,NA,NA,NA,,Win-Mix
255,539,79.62832603,1.79628326,1.091842655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.24,NA,NA,NA,NA,1.057007126,1.24,1.24,NA,NA,NA,NA,,Win-Mix
256,539,84.99482399,1.84994824,1.156210515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32,NA,NA,NA,NA,1.073634204,1.08,1.08,NA,NA,NA,NA,,Win-Mix
257,539,114.0182576,2.140182576,1.075417086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,1.045130641,1.06,1.06,NA,NA,NA,NA,,Win-Mix
258,540,0.768514667,1.007685147,0.98635824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0366972,1,NA,NA,NA,NA,1.02239805,1.0066667,1.0381294,NA,NA,NA,,Mix-Mix
259,540,-0.870532667,0.991294673,0.94439502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.029489,1,NA,NA,NA,NA,1.018616,1,1.037232,NA,NA,NA,,Mix-Mix
261,546,25.92927,1.2592927,1.6237854,NA,NA,0.8948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,1.31,NA,NA,NA,NA,,Mix-Win
262,546,12.33113,1.1233113,1.3704226,NA,NA,0.8762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.165,1.165,NA,NA,NA,NA,,Mix-Win
263,546,6.781655,1.06781655,1.3026331,NA,NA,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,1.06,NA,NA,NA,NA,,Mix-Win
264,546,4.00127,1.0400127,1.3273254,NA,NA,0.7527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.105,1.105,NA,NA,NA,NA,,Mix-Win
266,560,10.63282,1.1063282,1.2629045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0214271,NA,NA,NA,NA,1.034653,1.9,1.9,NA,NA,NA,NA,,Win-Win
267,563,-2.325017325,0.976749827,0.896742897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.056756757,NA,NA,NA,NA,1.073333333,1.073333333,NA,NA,NA,NA,,Mix-Win
268,564,-17.892504,0.82107496,0.82107496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9625,0.9625,NA,NA,NA,NA,,Lose-Mix
269,564,-1.647768,0.98352232,0.98352232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,,Lose-Mix
270,564,6.546415,1.06546415,1.06546415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5587045,1.5587045,NA,NA,NA,NA,,Win-Win
271,564,22.393,1.22393,1.22393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.605915926,2.605915926,NA,NA,NA,NA,,Win-Win
272,564,279.435364,3.79435364,3.79435364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3833927,2.3833927,Positive,Positive,Positive,Positive,,Win-Win
273,564,181.400084,2.81400084,2.81400084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8876078,1.8876078,Positive,Positive,Positive,Positive,,Win-Win
274,567,12.40259107,1.124025911,1.155991736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.092060086,NA,NA,NA,NA,1.079145729,1.079145729,NA,NA,NA,NA,,Win-Win
