StudyID_IDALL,Authors,Year,Title,Citation
220,"Harsono A., Elisabeth D.A.A., Muzaiyanah S., Rianto S.A.",2020,"Soybean-maize intercropping feasibility under drought-prone area in East Java, Indonesia","Harsono, A., Elisabeth, D. A. A., Muzaiyanah, S., & Rianto, S. A. (2020). Soybean-maize intercropping feasibility under drought-prone area in East Java, Indonesia. Biodiversitas, 21(8), 3744-3754. doi:10.13057/biodiv/d210842"
37,"Arslan A., Belotti F., Lipper L.",2017,Smallholder productivity and weather shocks: Adoption and impact of widely promoted agricultural practices in Tanzania,"Arslan, A., Belotti, F., & Lipper, L. (2017). Smallholder productivity and weather shocks: Adoption and impact of widely promoted agricultural practices in Tanzania. Food Policy, 69, 68-81. doi:10.1016/j.foodpol.2017.03.005"
647,"Wade M.K., Sanchez P.A.",1984,Productive potential of an annual intercropping scheme in the Amazon,"Wade, M. K., & Sanchez, P. A. (1984). Productive potential of an annual intercropping scheme in the Amazon. Field Crops Research, 9(C), 253-263. doi:10.1016/0378-4290(84)90030-3"
599,"Syafruddin, Suwardi",2020,Intercropping of maize-mungbean to increase the farmer's income,"Syafruddin, S. (2020). Intercropping of maize-mungbean to increase the farmer's income. Paper presented at the IOP Conf. Series: Earth and Environmental Science."
118,"da Silva J.N., Neto F.B., de Lima J.S.S., Chaves A.P., Nunes R.L.C., Rodrigues G.S.O., Lino V.A.D.S., de Sá J.M., Dos Santos E.C.",2020,Sustainability of carrot-cowpea intercropping systems through optimization of green manuring and spatial arrangements [Sustentabilidade de sistemas consorciados de cenoura e feijão-caupi por meio da otimização da adubação verde e arranjos espaciais],"da Silva, J. N., Neto, F. B., de Lima, J. S. S., Chaves, A. P., Nunes, R. L. C., Rodrigues, G. S. O., . . . Dos Santos, E. C. (2020). Sustainability of carrot-cowpea intercropping systems through optimization of green manuring and spatial arrangements. Ciencia Rural, 51(1), 1-13. doi:10.1590/0103-8478cr20190838"
765,"Harsono, A., & Pratiwi, H. (2017, May).",2017,The increase of Ultisol productivity based on intercropping cassava with peanut and soybean,"Harsono, A., & Pratiwi, H. (2017). The increase of Ultisol productivity based on intercropping cassava with peanut and soybean. Nusantara Bioscience, 9(2), 157-163. doi:10.13057/nusbiosci/n090209"
762,"Isaacs KB, Snapp SS, Chung K, Waldman KB.",2016,Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.,"Isaacs, K. B., Snapp, S. S., Chung, K., & Waldman, K. B. (2016). Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda. Food Security, 8(3), 491-506. doi:10.1007/s12571-016-0582-x"
496,"Rao M.R., Mathuva M.N.",2000,Legumes for improving maize yields and income in semi-arid Kenya,"Rao, M. R., & Mathuva, M. N. (2000). Legumes for improving maize yields and income in semi-arid Kenya. Agriculture, Ecosystems & Environment, 78(2), 123-137. doi:10.1016/s0167-8809(99)00125-5"
199,"Gitari H.I., Gachene C.K.K., Karanja N.N., Kamau S., Nyawade S., Sharma K., Schulte-Geldermann E.",2018,Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems,"Gitari, H. I., Gachene, C. K. K., Karanja, N. N., Kamau, S., Nyawade, S., Sharma, K., & Schulte-Geldermann, E. (2018). Optimizing yield and economic returns of rain-fed potato (Solanum tuberosum L.) through water conservation under potato-legume intercropping systems. Agricultural Water Management, 208, 59-66. doi:10.1016/j.agwat.2018.06.005"
198,"Gitari H.I., Nyawade S.O., Kamau S., Karanja N.N., Gachene C.K.K., Raza M.A., Maitra S., Schulte-Geldermann E.",2020,Revisiting intercropping indices with respect to potato-legume intercropping systems,"Gitari, H. I., Nyawade, S. O., Kamau, S., Karanja, N. N., Gachene, C. K. K., Raza, M. A., . . . Schulte-Geldermann, E. (2020). Revisiting intercropping indices with respect to potato-legume intercropping systems. Field Crops Research, 258. doi:10.1016/j.fcr.2020.107957"
6,"Adamtey N., Musyoka M.W., Zundel C., Cobo J.G., Karanja E., Fiaboe K.K.M., Muriuki A., Mucheru-Muna M., Vanlauwe B., Berset E., Messmer M.M., Gattinger A., Bhullar G.S., Cadisch G., Fliessbach A., Mäder P., Niggli U., Foster D.",2016,"Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya","Adamtey, N., Musyoka, M. W., Zundel, C., Cobo, J. G., Karanja, E., Fiaboe, K. K. M., . . . Foster, D. (2016). Productivity, profitability and partial nutrient balance in maize-based conventional and organic farming systems in Kenya. Agriculture Ecosystems & Environment, 235, 61-79. doi:10.1016/j.agee.2016.10.001"
436,"Onduru D.D., Du Preezb C.C.",2007,Ecological and agro-economic study of small farms in sub-Saharan Africa,"Onduru, D. D., & Preez, C. C. (2007). Ecological and agro-economic study of small farms in sub-Saharan Africa. Agronomy for Sustainable Development, 27(3), 197-208. doi:10.1051/agro:2007003"
744,"Midega, C.A.O., Salifu, D., Bruce, T.J., Pittchar, J., Pickett, J.A., Khan, Z.R.,",2014,Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation.,"Midega, C. A. O., Salifu, D., Bruce, T. J., Pittchar, J., Pickett, J. A., & Khan, Z. R. (2014). Cumulative effects and economic benefits of intercropping maize with food legumes on Striga hermonthica infestation. Field Crops Research, 155, 144-152. doi:10.1016/j.fcr.2013.09.013"
435,"Ojiem J.O., Franke A.C., Vanlauwe B., de Ridder N., Giller K.E.",2014,Benefits of legume-maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya,"Ojiem, J. O., Franke, A. C., Vanlauwe, B., de Ridder, N., & Giller, K. E. (2014). Benefits of legume–maize rotations: Assessing the impact of diversity on the productivity of smallholders in Western Kenya. Field Crops Research, 168, 75-85. doi:10.1016/j.fcr.2014.08.010"
297,"Kihara J., Vanlauwe B., Waswa B., Kimetu J.M., Chianu J., Bationo A.",2010,Strategic phosphorus application in legume-cereal rotations increases land productivity and profitability in western Kenya,"Kihara, J., Vanlauwe, B., Waswa, B., Kimetu, J. M., Chianu, J., & Bationo, A. (2010). Strategic phosphorus application in legume-cereal rotations increases land productivity and profitability in western Kenya. Experimental Agriculture, 46(1), 35-52. doi:10.1017/S0014479709990810"
202,"Gnahoua J.G., Ettien D.J.B., N’zué B., De Neve S., Boeckx P.",2016,Assessment of low-input technologies to improve productivity of early harvested cassava in Côte d’Ivoire,"Gnahoua, J. G., Ettien, D. J. B., N’zué, B., De Neve, S., & Boeckx, P. (2016). Assessment of low-input technologies to improve productivity of early harvested cassava in Côte d’Ivoire. Agroecology and Sustainable Food Systems, 40(9), 941-964. doi:10.1080/21683565.2016.1209610"
432,"Nwofia G.E., Jiwuba F., Okpara D.A., Mbah E.U.",2017,Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics,"Nwofia, G. E., Jiwuba, F., Okpara, D. A., & Mbah, E. U. (2017). Yield and Productivity of Eggplant Genotypes Intercropped with Vegetable Cowpea in the Humid Tropics. International Journal of Vegetable Science, 23(5), 400-410. doi:10.1080/19315260.2017.1310779"
441,"Oyeogbe A., Otoadese J., Ehanire B.",2021,"Diversification of maize-based intercropping systems in tropical rainforest agroecosystem of Nigeria: Productivity, profitability and soil fertility","Oyeogbe, A., Otoadese, J., & Ehanire, B. (2021). Diversification of maize-based intercropping systems in tropical rainforest agroecosystem of Nigeria: Productivity, profitability and soil fertility. Future of Food: Journal on Food, Agriculture and Society, 9(1), 1-7. doi:10.17170/kobra-202011192213"
666,"Workayehu T., Wortmann C.S.",2011,Maize-bean intercrop weed suppression and profitability in Southern Ethiopia,"Workayehu, T., & Wortmann, C. S. (2011). Maize-Bean Intercrop Weed Suppression and Profitability in Southern Ethiopia. Agronomy Journal, 103(4), 1058-1063. doi:10.2134/agronj2010.0493"
668,"Worku W., Temeche D., Gossa R., Abate B.",2021,Agronomic management options to enhance adoption of maize–common bean–common bean sequential intercropping in southern Ethiopia,"Worku, W., Temeche, D., Gossa, R., & Abate, B. (2021). Agronomic management options to enhance adoption of maize–common bean–common bean sequential intercropping in southern Ethiopia. Journal of Crop Science and Biotechnology, 24(3), 307-318. doi:10.1007/s12892-020-00078-x"
556,"Sime G., Aune J.B.",2018,Sustainability of improved crop varieties and agricultural practices: A case study in the central rift valley of Ethiopia,"Sime, G., & Aune, J. (2018). Sustainability of Improved Crop Varieties and Agricultural Practices: A Case Study in the Central Rift Valley of Ethiopia. Agriculture, 8(11). doi:10.3390/agriculture8110177"
741,"Muoneke, C.O., Ogwuche, M.A.O., Kalu, B.A., 2007. .",2007,Effect of maize planting density on the performance of maize/soybean intercropping system in a guinea savannah agroecosystem,"Muoneke, C. O., Ogwuche, M. A. O., & Kalu, B. A. (2007). Effect of maize planting density on the performance of maize/soybean intercropping system in a guinea savannah agroecosystem. African Journal of Agricultural Research, 2(12), 667-677."
16,"Akinola A.A., Alene A.D., Adeyemo R., Sanogo D., Olanrewaju A.S.",2009,Impacts of balanced nutrient management systems technologies in the northern Guinea savanna of Nigeria,"Akinola, A. A., Alene, A. D., Adeyemo, R., Sanogo, D., & Olanrewaju, A. S. (2009). Impacts of balanced nutrient management systems technologies in the northern Guinea savanna of Nigeria. Journal of Food, Agriculture and Environment, 7(2), 496-504."
10,"Adjei-Nsiah S., Leeuwis C., Giller K.E., Sakyi-Dawson O., Cobbina J., Kuyper T.W., Abekoe M., Van Der Werf W.",2004,"Land tenure and differential soil fertility management practices among native and migrant farmers in Wenchi, Ghana: Implications for interdisciplinary action research","Adjei-Nsiah, S., Leeuwis, C., Giller, K. E., Sakyi-Dawson, O., Cobbina, J., Kuyper, T. W., . . . Van Der Werf, W. (2004). Land tenure and differential soil fertility management practices among native and migrant farmers in Wenchi, Ghana: Implications for interdisciplinary action research. NJAS - Wageningen Journal of Life Sciences, 52(3-4), 331-348. doi:10.1016/S1573-5214(04)80020-4"
9,"Adjei-Nsiah S., Kuyper T.W., Leeuwis C., Abekoe M.K., Giller K.E.",2007,Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana,"Adjei-Nsiah, S., Kuyper, T. W., Leeuwis, C., Abekoe, M. K., & Giller, K. E. (2007). Evaluating sustainable and profitable cropping sequences with cassava and four legume crops: Effects on soil fertility and maize yields in the forest/savannah transitional agro-ecological zone of Ghana. Field Crops Research, 103(2), 87-97. doi:10.1016/j.fcr.2007.05.001"
64,"Belay D., Schulthess F., Omwega C.",2009,The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia,"Belay, D., Schulthess, F., & Omwega, C. (2009). The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia. Phytoparasitica, 37(1), 43-50. doi:10.1007/s12600-008-0002-7"
12,"Agegnehu G., Ghizaw A., Sinebo W.",2006,Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Yield performance and land-use efficiency of barley and faba bean mixed cropping in Ethiopian highlands. European Journal of Agronomy, 25(3), 202-207. doi:10.1016/j.eja.2006.05.002"
785,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006, Oct).",2006,Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment,"Agegnehu, G., Ghizaw, A., & Sinebo, W. (2006). Crop productivity and land-use efficiency of a teff/faba bean mixed cropping system in a tropical highland environment. Experimental Agriculture, 42(4), 495-504. doi:10.1017/s0014479706003863"
1,"Abdul Rahman N., Larbi A., Kotu B., Asante M.O., Akakpo D.B., Mellon-Bedi S., Hoeschle-Zeledon I.",2021,"Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana","Abdul Rahman, N., Larbi, A., Kotu, B., Asante, M. O., Akakpo, D. B., Mellon-Bedi, S., & Hoeschle-Zeledon, I. (2021). Maize–legume strip cropping effect on productivity, income, and income risk of farmers in northern Ghana. Agronomy Journal, 113(2), 1574-1585. doi:10.1002/agj2.20536"
406,"Naab J.B., Mahama G.Y., Yahaya I., Prasad P.V.V.",2017,"Conservation agriculture improves soil quality, crop yield, and incomes of smallholder farmers in north western Ghana","Naab, J. B., Mahama, G. Y., Yahaya, I., & Prasad, P. V. V. (2017). Conservation Agriculture Improves Soil Quality, Crop Yield, and Incomes of Smallholder Farmers in North Western Ghana. Front Plant Sci, 8, 996. doi:10.3389/fpls.2017.00996"
282,"Kermah M., Franke A.C., Adjei-Nsiah S., Ahiabor B.D.K., Abaidoo R.C., Giller K.E.",2017,Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana,"Kermah, M., Franke, A. C., Adjei-Nsiah, S., Ahiabor, B. D. K., Abaidoo, R. C., & Giller, K. E. (2017). Maize-grain legume intercropping for enhanced resource use efficiency and crop productivity in the Guinea savanna of northern Ghana. Field Crops Research, 213, 38-50. doi:10.1016/j.fcr.2017.07.008"
776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec).",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes","Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019). Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes. Cogent Food & Agriculture, 5(1), 22. doi:10.1080/23311932.2019.1702826"
564,"Singh B.B., Ajeigbe H.",2007,Improved cowpea-cereals-based cropping systems for household food security and poverty reduction in West Africa,"Singh, B. B., & Ajeigbe, H. (2007). Improved Cowpea-Cereals-Based Cropping Systems for Household Food Security and Poverty Reduction in West Africa. Journal of Crop Improvement, 19(1-2), 157-172. doi:10.1300/J411v19n01_11"
699,"Zougmore R., Kambou F.N., Ouattara K., Guillobez S.",2000,"Sorghum-cowpea intercropping: An effective technique against runoff and soil erosion in the sahel (saria, burkina faso)","Zougmore, R., Kambou, F. N., Ouattara, K., & Guillobez, S. (2000). Sorghum-cowpea Intercropping: An Effective Technique Against Runoff and Soil Erosion in the Sahel (Saria, Burkina Faso). Arid Soil Research and Rehabilitation, 14(4), 329-342. doi:10.1080/08903060050136441"
390,"Montgomery S., Guppy C., Martin R., Wright G., Flavel R., Phan S., Im S., Tighe M.",2017,Productivity and profitability of upland crop rotations in Northwest Cambodia,"Montgomery, S., Guppy, C., Martin, R., Wright, G., Flavel, R., Phan, S., . . . Tighe, M. (2017). Productivity and profitability of upland crop rotations in Northwest Cambodia. Field Crops Research, 203, 150-162. doi:10.1016/j.fcr.2016.12.010"
731,"Shivaramu HS, Shivashankar K.",1992,PERFORMANCE OF SUNFLOWER (HELIANTHUS-ANNUUS) AND SOYBEAN (GLYCINE-MAX) IN INTERCROPPING WITH DIFFERENT PLANT-POPULATIONS AND PLANTING PATTERNS,"Shivaramu, H. S., & Shivashankar, K. (1992). PERFORMANCE OF SUNFLOWER (HELIANTHUS-ANNUUS) AND SOYBEAN (GLYCINE-MAX) IN INTERCROPPING WITH DIFFERENT PLANT-POPULATIONS AND PLANTING PATTERNS. Indian Journal of Agronomy, 37(2), 231-236."
510,"Ruangsanka S., Sanfan S., Chaiwong U.",2021,"Does intercropping of baby corn (Zea mays l.) with pulse legumes improve soil fertility, crop productivity and profitability?","Ruangsanka, S., Sanfan, S., & Chaiwong, U. (2021). Does Intercropping of Baby Corn (Zea mays L.) with Pulse Legumes Improve Soil Fertility, Crop Productivity and Profitability? Journal of Agricultural Sciences, 16(1), 19-27. doi:10.4038/jas.v16i1.9180"
348,"Lopez-Ridaura S., Barba-Escoto L., Reyna-Ramirez C.A., Sum C., Palacios-Rojas N., Gerard B.",2021,"Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala","Lopez-Ridaura, S., Barba-Escoto, L., Reyna-Ramirez, C. A., Sum, C., Palacios-Rojas, N., & Gerard, B. (2021). Maize intercropping in the milpa system. Diversity, extent and importance for nutritional security in the Western Highlands of Guatemala. Sci Rep, 11(1), 3696. doi:10.1038/s41598-021-82784-2"
742,"Mohan, H.M., Chittapur, B.M., Hiremath, S.M",2013,EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION,"Mohan, H. M., Chittapur, B. M., & Hiremath, S. M. (2013). EVALUATION OF RICEBEAN AND FRENCHBEAN AS INTERCROPS WITH MAIZE UNDER DIFFERENT ROW PROPORTIONS IN THE PENINSULAR REGION. Legume Research, 36(4), 338-343."
366,"Manjunath B.L., Paramesh V., Mahajan G.R., Reddy K.V., Das B., Singh N.P.",2018,"A five years study on the selection of rice based cropping systems in Goa, for west coast region of India","Manjunath, B. L., Paramesh, V., Mahajan, G. R., Reddy, K. V., Das, B., & Singh, N. P. (2018). A five years study on the selection of rice based cropping systems in Goa, for west coast region of India. Journal of Environmental Biology, 39(3), 393-399. doi:10.22438/jeb/39/3/MRN-593"
367,"Manjunath M.G., Salakinkop S.R., Somanagouda G.",2018,Productivity and profitability of soybean based millets intercropping systems,"Manjunath, M. G., Salakinkop, S. R., & Somanagouda, G. (2018). Productivity and profitability of soybean based millets intercropping systems. Research on Crops, 19(1), 43-47. doi:10.5958/2348-7542.2018.00006.2"
589,"Soriano J.B., Wani S.P., Rao A.N., Hanumanthappa A.K., Gowda J.A.C., Rathore A.",2017,On-farm evaluation of dry-seeded rice cultivars and cropping systems in the semi-arid region of India,"Soriano, J. B., Wani, S. P., Rao, A. N., Hanumanthappa, A. K., Gowda, J. A. C., & Rathore, A. (2017). On-farm evaluation of dry-seeded rice cultivars and cropping systems in the semi-arid region of India. Philippine Journal of Science, 146(3), 223-235."
428,"Novotny I.P., Tittonell P., Fuentes-Ponce M.H., López-Ridaura S., Rossing W.A.H.",2021,"The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico","Novotny, I. P., Tittonell, P., Fuentes-Ponce, M. H., Lopez-Ridaura, S., & Rossing, W. A. H. (2021). The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico. PLoS ONE, 16(2), e0246281. doi:10.1371/journal.pone.0246281"
