uniqueID,IDALL,Biocarb_services_average_percent_transf,Biocarb_services_average,"Impact of intensification on: 
 Biodiversity Species: occurrence/abundance - Diversity, composition,Abundance, behaviour","Impact of intensification on: 
 Biodiversity- Ecosystem ondition/ecosystem quality","Impact of intensification on: 
 Biodiversity- Habitat (Land sparing)","Soil organic carbon (linked to carbon sequestration, primary productivity, biodiversity, nutrient cycling, water formation, soil stability: https://doi.org/10.1016/B978-0-12-811687-6.00001-8)",Econ_wellbeing_average,"Impact of intensification on: 
 Income Gain/Net Benefits proportion",Impact of intensification on: Income Security/Avoiding Risk of Financial Loss,Savings in Costs of Labour,"Impact of intensification on: material assets/physical capital (Shelter, energy (electricity), cooking fuel, sanitation facilities, market infrastructure)","Combined 
 ecological-social outcome"
72,195,19.2,1.192,NA,NA,NA,1.192,1.333333333,1.333333333,Neutral,,Positive,Win-Mix
78,200,300,4,NA,NA,NA,4,1.26,1.26,Positive,,Positive,Mix-Win
89,251,17.67435,1.1767435,NA,NA,NA,1.1767435,3.0375,3.0375,NA,,Negative,Mix-Mix
90,251,-3.2949,0.967051,NA,NA,NA,0.967051,1.275,1.275,NA,,Negative,Mix-Mix
91,251,4.80877,1.0480877,NA,NA,NA,1.0480877,0.675,0.675,NA,,Negative,Mix-Mix
92,251,12.30784,1.1230784,NA,NA,NA,1.1230784,0.4125,0.4125,NA,,Negative,Mix-Mix
102,259,12.9423,1.129423,NA,NA,NA,1.129423,1.376452363,1.376452363,NA,,NA,Win-Win
103,259,23.92517,1.2392517,NA,NA,NA,1.2392517,1.43609605,1.43609605,NA,,NA,Win-Win
107,272,14.04612,1.1404612,NA,NA,NA,1.1404612,2,2,NA,,NA,Win-Win
135,337,2.694076368,1.026940764,NA,NA,NA,1.026940764,1.048662463,1.048662463,Positive,Negative,NA,Mix-Mix
139,356,3.5,1.035,NA,1.06,1.01,NA,1.34,1.34,Positive,,Mixed,Win-Mix
140,356,17,1.17,NA,1.17,1.17,NA,1.17,1.17,Positive,,Mixed,Win-Mix
156,406,15.27777778,1.152777778,NA,NA,NA,1.152777778,1.564984489,2.419783006,NA,0.710185972,NA,Win-Mix
161,410,19.23077,1.1923077,NA,NA,NA,1.1923077,1.0390625,1.0390625,NA,,NA,Mix-Win
162,410,28.84615,1.2884615,NA,NA,NA,1.2884615,1.046875,1.046875,NA,,NA,Mix-Win
163,410,-1.92308,0.9807692,NA,NA,NA,0.9807692,1.03125,1.03125,NA,,NA,Mix-Win
175,422,8.25087963,1.082508796,1.282138375,NA,NA,0.882879218,0.951675687,1.141446613,NA,0.761904762,NA,Mix-Mix
176,422,30.26236068,1.302623607,1.467233309,NA,NA,1.138013905,0.846196352,0.930487943,NA,0.761904762,NA,Mix-Lose
202,441,2.830188679,1.028301887,NA,NA,NA,1.028301887,1.583024063,1.583024063,NA,,NA,Win-Win
203,441,-0.943396226,0.990566038,NA,NA,NA,0.990566038,1.254639052,1.254639052,NA,,NA,Mix-Win
233,506,-57.06646295,0.429335371,0.429335371,Negative,NA,NA,1.062893082,1.062893082,NA,,NA,Mix-Win
234,506,-14.42322383,0.855767762,0.855767762,Negative,NA,NA,0.886792453,0.886792453,NA,,NA,Mix-Lose
235,506,-38.74713522,0.612528648,0.612528648,Negative,NA,NA,1.144654088,1.144654088,NA,,NA,Mix-Win
253,539,-4.5131,0.954869,NA,NA,NA,0.954869,0.957265,0.957265,NA,,Negative,Mix-Mix
254,539,2.612826603,1.026128266,NA,NA,NA,1.026128266,1.034188034,1.034188034,NA,,Negative,Win-Mix
255,539,5.700712589,1.057007126,NA,NA,NA,1.057007126,0.965811966,0.965811966,NA,,Negative,Win-Mix
256,539,7.363420428,1.073634204,NA,NA,NA,1.073634204,0.914529915,0.914529915,NA,,Negative,Win-Mix
257,539,4.513064133,1.045130641,NA,NA,NA,1.045130641,0.897435897,0.897435897,NA,,Negative,Win-Mix
260,542,42.8445507,1.428445507,NA,NA,NA,1.428445507,1.171949419,1.171949419,NA,,NA,Win-Win
266,560,3.4653,1.034653,NA,NA,NA,1.034653,1.481695063,1.481695063,NA,,NA,Win-Win
276,570,4.44444,1.0444444,NA,NA,NA,1.0444444,1.071203555,1.263736264,NA,1.0279296,0.9219448,Mix-Mix
277,574,13.33333333,1.133333333,NA,NA,NA,1.133333333,1.235902299,1.235902299,NA,,NA,Win-Win
280,582,13.75668,1.1375668,NA,NA,NA,1.1375668,1.716341788,3.025184165,1.0217391,1.1021021,NA,Win-Mix
281,582,12.52909,1.1252909,NA,NA,NA,1.1252909,1.226536246,1.618830638,1.0217391,1.039039,NA,Win-Mix
282,582,9.77754,1.0977754,NA,NA,NA,1.0977754,1.642868669,2.762192306,1.0643116,1.1021021,NA,Win-Win
283,582,6.80463,1.0680463,NA,NA,NA,1.0680463,1.374290151,2.019519854,1.0643116,1.039039,NA,Win-Win
284,582,9.00815,1.0900815,NA,NA,NA,1.0900815,2.795843872,6.075752117,1.2096774,1.1021021,NA,Win-Win
285,582,8.68973,1.0868973,NA,NA,NA,1.0868973,2.661107588,5.734606363,1.2096774,1.039039,NA,Win-Win
289,583,0,1,NA,NA,NA,1,1.82111437,1.82111437,NA,,NA,Mix-Win
290,583,5.47945,1.0547945,NA,NA,NA,1.0547945,0.944281525,0.944281525,NA,,NA,Mix-Mix
292,583,-7.57576,0.9242424,NA,NA,NA,0.9242424,1.618357488,1.618357488,NA,,NA,Mix-Mix
298,609,-13.1054,0.868946,NA,NA,NA,0.868946,1.19381839,1.19381839,NA,Negative,Negative,Mix-Mix
310,626,13.125,1.13125,NA,NA,NA,1.13125,1.344262295,1.344262295,NA,,NA,Win-Win
311,626,35.9375,1.359375,NA,NA,NA,1.359375,1.389344262,1.389344262,NA,,NA,Win-Win
320,673,6.490299824,1.064902998,NA,NA,NA,1.064902998,1.208431857,1.208431857,NA,,Negative ,Win-Mix
323,682,5.970149254,1.059701493,NA,NA,NA,1.059701493,1.157277333,1.157277333,NA,,Positive,Win-Win
326,708,14.21028802,1.14210288,NA,NA,NA,1.14210288,1.63583815,1.63583815,NA,,NA,Mix-Win
327,708,24.66699967,1.246669997,NA,NA,NA,1.246669997,2.779661017,2.779661017,NA,,NA,Mix-Win
329,709,-8.333333333,0.916666667,NA,NA,NA,0.916666667,4.513385827,4.513385827,NA,,NA,Mix-Win
338,726,2.514028527,1.025140285,NA,NA,NA,1.025140285,1.072606275,1.048170587,1.097041963,,NA,Mix-Win
339,726,1.372092607,1.013720926,NA,NA,NA,1.013720926,1.103791362,1.074367088,1.133215636,,NA,Mix-Win
377,778,25.85015508,1.258501551,1.437795181,NA,NA,1.079207921,1.141935484,1.141935484,NA,,NA,Win-Win
381,782,31.81818182,1.318181818,NA,NA,NA,1.318181818,1.028379169,1.24600467,1.036253776,,0.802879061,Win-Mix
382,782,44.15584416,1.441558442,NA,NA,NA,1.441558442,1.046946927,1.147166566,1.069486405,,0.924187809,Win-Mix
383,782,50,1.5,NA,NA,NA,1.500000,1.038101887,1.113875645,1.058912387,,0.94151763,Win-Mix
384,783,15.38461538,1.153846154,NA,NA,NA,1.153846154,1.331769464,1.668202555,0.995336373,,NA,Win-Mix
385,783,23.07692308,1.230769231,NA,NA,NA,1.230769231,1.909111725,3.031706204,0.786517245,,NA,Win-Mix
386,783,18.6440678,1.186440678,NA,NA,NA,1.186440678,1.148931073,1.322730924,0.975131222,,NA,Win-Mix
387,783,27.11864407,1.271186441,NA,NA,NA,1.271186441,1.520542623,2.283148594,0.757936652,,NA,Win-Mix
