"uniqueID","StudyID_IDALL","Authors","Year","Title","Citation","Unit_analysis","Study_design","Case_countries","Continent","Worldbank_national_income_group","Synthetic_fertiliser_category","Water_source","Biodiv_services_average_percent_transf","Biodiv_services_average","Biodiversity_composition_spp_occurrence_abunndance","Biodiversity_structure_habitat","Biodiversity_functions_processes_soil_organic_carbon","Recoded_spect_of_function","Econ_wellbeing_average_percent_transf","Econ_wellbeing_average","Profit","Financial_security","Physical_capital","Savings_labour_cost","Combined_ecological_social_outcome"
54,99,"Chauhan D.S., Sharma R.K., Kharub A.S., Tripathi S.C., Chhokar R.S.",2001,"Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains","Chauhan, D. S., Sharma, R. K., Kharub, A. S., Tripathi, S. C., & Chhokar, R. S. (2001). Effect of crop intensification on productivity, profitability, energetics and soil fertility in rice (Oryza sativa)-wheat (Triticum aestivum) cropping system of north-western plains. Indian Journal of Agricultural Sciences, 71(5), 299-302.","Plot","Experiment (research station)","India","Asia","LMIC","No synthetic","irrigation",6.63265,1.0663265,"NA","NA",1.0663265,"Carbon",6.3626177,1.063626177,1.063626177,"NA","Negative",NA,"Mix-Mix"
71,128,"Das R., Dhara P.K., Mandal A.R., Ray S.K.D.",2014,"Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks","Das, R., Dhara, P. K., Mandal, A. R., & Ray, S. K. D. (2014). Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks. Ecology, Environment and Conservation, 20, S7-S13.","Plot","Experiment (on farm)","India","Asia","LMIC","No synthetic","rainfed",600.28011,7.0028011,"NA","NA",7.0028011,"Carbon",332.1428571,4.321428571,4.321428571,"NA","NA",NA,"Win-Win"
72,128,"Das R., Dhara P.K., Mandal A.R., Ray S.K.D.",2014,"Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks","Das, R., Dhara, P. K., Mandal, A. R., & Ray, S. K. D. (2014). Agri-silvi-fruit-vegetable based agro-production system - Suitable models for sustainable land use and conservation in red-laterite and semi-arid tracks. Ecology, Environment and Conservation, 20, S7-S13.","Plot","Experiment (on farm)","India","Asia","LMIC","No synthetic","rainfed",460.22409,5.6022409,"NA","NA",5.6022409,"Carbon",422.7678571,5.227678571,5.227678571,"NA","NA",NA,"Win-Win"
89,195,"Ghosh P.K., Hazra K.K., Venkatesh M.S., Praharaj C.S., Kumar N., Nath C.P., Singh U., Singh S.S.",2020,"Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run","Ghosh, P. K., Hazra, K. K., Venkatesh, M. S., Praharaj, C. S., Kumar, N., Nath, C. P., . . . Singh, S. S. (2020). Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run. Experimental Agriculture, 56(1), 142-158. doi:10.1017/s0014479719000243","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",35.0365,1.350365,"NA","NA",1.350365,"Carbon",142.857142857143,2.42857142857143,2.42857142857143,"Positive","Positive",NA,"Win-Win"
90,195,"Ghosh P.K., Hazra K.K., Venkatesh M.S., Praharaj C.S., Kumar N., Nath C.P., Singh U., Singh S.S.",2020,"Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run","Ghosh, P. K., Hazra, K. K., Venkatesh, M. S., Praharaj, C. S., Kumar, N., Nath, C. P., . . . Singh, S. S. (2020). Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run. Experimental Agriculture, 56(1), 142-158. doi:10.1017/s0014479719000243","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",24,1.24,"NA","NA",1.24,"Carbon",70.8333333333333,1.70833333333333,2.41666666666667,"1","Positive",NA,"Win-Mix"
91,195,"Ghosh P.K., Hazra K.K., Venkatesh M.S., Praharaj C.S., Kumar N., Nath C.P., Singh U., Singh S.S.",2020,"Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run","Ghosh, P. K., Hazra, K. K., Venkatesh, M. S., Praharaj, C. S., Kumar, N., Nath, C. P., . . . Singh, S. S. (2020). Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run. Experimental Agriculture, 56(1), 142-158. doi:10.1017/s0014479719000243","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",6.56934306569343,1.06569343065693,"NA","NA",1.06569343065693,"Carbon",66.6666666666667,1.66666666666667,1.66666666666667,"Positive","Positive",NA,"Win-Win"
92,195,"Ghosh P.K., Hazra K.K., Venkatesh M.S., Praharaj C.S., Kumar N., Nath C.P., Singh U., Singh S.S.",2020,"Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run","Ghosh, P. K., Hazra, K. K., Venkatesh, M. S., Praharaj, C. S., Kumar, N., Nath, C. P., . . . Singh, S. S. (2020). Grain legume inclusion in cereal-cereal rotation increased base crop productivity in the long run. Experimental Agriculture, 56(1), 142-158. doi:10.1017/s0014479719000243","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",19.2,1.192,"NA","NA",1.192,"Carbon",16.6666666666667,1.16666666666667,1.33333333333333,"1","Positive",NA,"Win-Mix"
98,200,"Glenk K., Shrestha S., Topp C.F.E., Sánchez B., Iglesias A., Dibari C., Merante P.",2017,"A farm level approach to explore farm gross margin effects of soil organic carbon management","Glenk, K., Shrestha, S., Topp, C. F. E., Sánchez, B., Iglesias, A., Dibari, C., & Merante, P. (2017). A farm level approach to explore farm gross margin effects of soil organic carbon management. Agricultural Systems, 151, 33-46. doi:10.1016/j.agsy.2016.11.002","Farm","Model (Aragon Census Data for Aragon, Spain)","Spain","Europe","HIC","Synthetic - below threshold","rainfed",300,4,"NA","NA",4,"Carbon",26,1.26,1.26,"Positive","Positive",NA,"Mix-Win"
113,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",17.67435,1.1767435,"NA","NA",1.1767435,"Carbon",203.75,3.0375,3.0375,"NA","Negative",NA,"Mix-Mix"
114,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",-3.2949,0.967051,"NA","NA",0.967051,"Carbon",27.5,1.275,1.275,"NA","Negative",NA,"Mix-Mix"
115,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",4.80877,1.0480877,"NA","NA",1.0480877,"Carbon",-32.5,0.675,0.675,"NA","Negative",NA,"Mix-Mix"
116,251,"Islami T., Guritno B., Utomo W.H.",2011,"Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia","Islami, T., Guritno, B., & Utomo, W. H. (2011). Performance of cassava (Manihot esculenta Crantz) based cropping systems and associated soil quality changes in the degraded tropical uplands of East Java, Indonesia. Journal of Tropical Agriculture, 49, 31-39.","Plot","Experiment (on farm)","Indonesia","Asia","LMIC","Synthetic - below threshold","irrigation",12.30784,1.1230784,"NA","NA",1.1230784,"Carbon",-58.75,0.4125,0.4125,"NA","Negative",NA,"Mix-Mix"
126,259,"Jat R.S., Choudhary R.L., Singh H.V., Meena M.K., Singh V.V., Rai P.K.",2021,"Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system","Jat, R. S., Choudhary, R. L., Singh, H. V., Meena, M. K., Singh, V. V., & Rai, P. K. (2021). Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system. Scientific Reports, 11(1). doi:10.1038/s41598-021-92801-z","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","irrigation",12.9423,1.129423,"NA","NA",1.129423,"Carbon",37.6452363,1.376452363,1.376452363,"NA","NA",NA,"Win-Win"
127,259,"Jat R.S., Choudhary R.L., Singh H.V., Meena M.K., Singh V.V., Rai P.K.",2021,"Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system","Jat, R. S., Choudhary, R. L., Singh, H. V., Meena, M. K., Singh, V. V., & Rai, P. K. (2021). Sustainability, productivity, profitability and soil health with conservation agriculture based sustainable intensification of oilseed brassica production system. Scientific Reports, 11(1). doi:10.1038/s41598-021-92801-z","Plot","Experiment (on farm)","India","Asia","LMIC","Synthetic - below threshold","irrigation",23.92517,1.2392517,"NA","NA",1.2392517,"Carbon",43.609605,1.43609605,1.43609605,"NA","NA",NA,"Win-Win"
160,337,"Li R., Lin H., Niu H., Chen Y., Zhao S., Fan L.",2019,"Smallholder preference and agroecosystem service trade-offs: A case study in Xinzheng County, China","Li, R., Lin, H., Niu, H., Chen, Y., Zhao, S., & Fan, L. (2019). Smallholder preference and agroecosystem service trade-offs: A case study in Xinzheng County, China. Agricultural Systems, 168, 19-26. doi:10.1016/j.agsy.2018.10.002","Farm","Recall + Simulation model","China","Asia","UMIC","Unknown","irrigation",2.69407636759929,1.02694076367599,"NA","NA",1.02694076367599,"Carbon",4.86624626348804,1.04866246263488,1.04866246263488,"Positive","NA",NA,"Mix-Mix"
164,356,"MacWilliam S., Wismer M., Kulshreshtha S.",2014,"Life cycle and economic assessment of Western Canadian pulse systems: The inclusion of pulses in crop rotations","MacWilliam, S., Wismer, M., & Kulshreshtha, S. (2014). Life cycle and economic assessment of Western Canadian pulse systems: The inclusion of pulses in crop rotations. Agricultural Systems, 123, 43-53. doi:10.1016/j.agsy.2013.08.009","Functional unit (one tonne of grain)","Simulation model (LCA)","Canada","North America","HIC","Synthetic - below threshold","rainfed",3.50000000000001,1.035,"NA","1.06",1.01,"Habitat quality",34,1.34,1.34,"Positive","Mixed",NA,"Win-Mix"
165,356,"MacWilliam S., Wismer M., Kulshreshtha S.",2014,"Life cycle and economic assessment of Western Canadian pulse systems: The inclusion of pulses in crop rotations","MacWilliam, S., Wismer, M., & Kulshreshtha, S. (2014). Life cycle and economic assessment of Western Canadian pulse systems: The inclusion of pulses in crop rotations. Agricultural Systems, 123, 43-53. doi:10.1016/j.agsy.2013.08.009","Functional unit (one tonne of grain)","Simulation model (LCA)","Canada","North America","HIC","Synthetic - below threshold","rainfed",17,1.17,"NA","1.17",1.17,"Habitat quality",17,1.17,1.17,"Positive","Mixed",NA,"Win-Mix"
191,406,"Naab J.B., Mahama G.Y., Yahaya I., Prasad P.V.V.",2017,"Conservation agriculture improves soil quality, crop yield, and incomes of smallholder farmers in north western Ghana","Naab, J. B., Mahama, G. Y., Yahaya, I., & Prasad, P. V. V. (2017). Conservation Agriculture Improves Soil Quality, Crop Yield, and Incomes of Smallholder Farmers in North Western Ghana. Front Plant Sci, 8, 996. doi:10.3389/fpls.2017.00996","Farm","Experiment (on farm)","Ghana","Africa","LMIC","Synthetic - below threshold","rainfed",15.2777777777778,1.15277777777778,"NA","NA",1.15277777777778,"Carbon",56.4984489273429,1.56498448927343,2.41978300633982,"NA","NA","0.71018597220703583","Win-Mix"
198,410,"Naresh R.K., Singh S.P., Kumar P., Singh B., Singh P.K., Chauhan P., Rathore R.S.",2014,"Sustainability of maize (Zea mays)-wheat (Triticum aestivum) cropping system under legumes intercropping and effect of nitrogen level on light distribution, soil temperature and crop productivity","Naresh, R. K., Singh, S. P., Kumar, P., Singh, B., Singh, P. K., Chauhan, P., & Rathore, R. S. (2014). Sustainability of maize (Zea mays)-wheat (Triticum aestivum) cropping system under legumes intercropping and effect of nitrogen level on light distribution, soil temperature and crop productivity. Indian Journal of Agricultural Sciences, 84(6), 695-701.","Field","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",19.23077,1.1923077,"NA","NA",1.1923077,"NA",3.90625,1.0390625,1.0390625,"NA","NA","NA","Mix-Win"
199,410,"Naresh R.K., Singh S.P., Kumar P., Singh B., Singh P.K., Chauhan P., Rathore R.S.",2014,"Sustainability of maize (Zea mays)-wheat (Triticum aestivum) cropping system under legumes intercropping and effect of nitrogen level on light distribution, soil temperature and crop productivity","Naresh, R. K., Singh, S. P., Kumar, P., Singh, B., Singh, P. K., Chauhan, P., & Rathore, R. S. (2014). Sustainability of maize (Zea mays)-wheat (Triticum aestivum) cropping system under legumes intercropping and effect of nitrogen level on light distribution, soil temperature and crop productivity. Indian Journal of Agricultural Sciences, 84(6), 695-701.","Field","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",28.84615,1.2884615,"NA","NA",1.2884615,"NA",4.6875,1.046875,1.046875,"NA","NA","NA","Mix-Win"
200,410,"Naresh R.K., Singh S.P., Kumar P., Singh B., Singh P.K., Chauhan P., Rathore R.S.",2014,"Sustainability of maize (Zea mays)-wheat (Triticum aestivum) cropping system under legumes intercropping and effect of nitrogen level on light distribution, soil temperature and crop productivity","Naresh, R. K., Singh, S. P., Kumar, P., Singh, B., Singh, P. K., Chauhan, P., & Rathore, R. S. (2014). Sustainability of maize (Zea mays)-wheat (Triticum aestivum) cropping system under legumes intercropping and effect of nitrogen level on light distribution, soil temperature and crop productivity. Indian Journal of Agricultural Sciences, 84(6), 695-701.","Field","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",-1.92308,0.9807692,"NA","NA",0.9807692,"NA",3.125,1.03125,1.03125,"NA","NA","NA","Mix-Win"
214,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",8.25087963013509,1.08250879630135,"1.2821383745164234","NA",0.882879218086278,"Carbon",-4.8324312503417,0.951675687496583,1.1414466130884,"NA","NA","0.76190476190476186","Mix-Mix"
215,422,"Ngwira A.R., Thierfelder C., Lambert D.M.",2013,"Conservation agriculture systems for Malawian smallholder farmers: Long-term effects on crop productivity, profitability and soil quality","Ngwira, A. R., Thierfelder, C., & Lambert, D. M. (2012). Conservation agriculture systems for Malawian smallholder farmers: long-term effects on crop productivity, profitability and soil quality. Renewable Agriculture and Food Systems, 28(4), 350-363. doi:10.1017/s1742170512000257","Field","Experiment (on farm)","Malawi","Africa","LIC","Synthetic - below threshold","rainfed",30.2623606809237,1.30262360680924,"1.4672333086967233","NA",1.13801390492175,"Carbon",-15.3803647576997,0.846196352423003,0.930487942941243,"NA","NA","0.76190476190476186","Mix-Lose"
239,441,"Oyeogbe A., Otoadese J., Ehanire B.",2021,"Diversification of maize-based intercropping systems in tropical rainforest agroecosystem of Nigeria: Productivity, profitability and soil fertility","Oyeogbe, A., Otoadese, J., & Ehanire, B. (2021). Diversification of maize-based intercropping systems in tropical rainforest agroecosystem of Nigeria: Productivity, profitability and soil fertility. Future of Food: Journal on Food, Agriculture and Society, 9(1), 1-7. doi:10.17170/kobra-202011192213","Plot","Experiment (on farm)","Nigeria","Africa","LMIC","Synthetic - below threshold","rainfed",2.83018867924529,1.02830188679245,"NA","NA",1.02830188679245,"NA",58.3024063,1.583024063,1.583024063,"NA","NA","NA","Win-Win"
240,441,"Oyeogbe A., Otoadese J., Ehanire B.",2021,"Diversification of maize-based intercropping systems in tropical rainforest agroecosystem of Nigeria: Productivity, profitability and soil fertility","Oyeogbe, A., Otoadese, J., & Ehanire, B. (2021). Diversification of maize-based intercropping systems in tropical rainforest agroecosystem of Nigeria: Productivity, profitability and soil fertility. Future of Food: Journal on Food, Agriculture and Society, 9(1), 1-7. doi:10.17170/kobra-202011192214","Plot","Experiment (on farm)","Nigeria","Africa","LMIC","Synthetic - below threshold","rainfed",-0.943396226415094,0.990566037735849,"NA","NA",0.990566037735849,"NA",25.4639052,1.254639052,1.254639052,"NA","NA","NA","Mix-Win"
270,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,"Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands","Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107576","Plot","Experiment (research station)","Madagascar","Africa","LIC","No synthetic","rainfed",28.533231474408,1.28533231474408,"1","NA",1.57066462948816,"Predation rates",6.28930817610063,1.06289308176101,1.06289308176101,"NA","NA","NA","Mix-Win"
271,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,"Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands","Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107577","Plot","Experiment (research station)","Madagascar","Africa","LIC","No synthetic","rainfed",7.21161191749424,1.07211611917494,"1","NA",1.14423223834988,"Predation rates",-11.3207547169811,0.886792452830189,0.886792452830189,"NA","NA","NA","Mix-Lose"
272,506,"Ripoche A., Autfray P., Rabary B., Randriamanantsoa R., Blanchart E., Trap J., Sauvadet M., Becquer T., Letourmy P.",2021,"Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands","Ripoche, A., Autfray, P., Rabary, B., Randriamanantsoa, R., Blanchart, E., Trap, J., . . . Letourmy, P. (2021). Increasing plant diversity promotes ecosystem functions in rainfed rice based short rotations in Malagasy highlands. Agriculture, Ecosystems & Environment, 320. doi:10.1016/j.agee.2021.107578","Plot","Experiment (research station)","Madagascar","Africa","LIC","No synthetic","rainfed",19.3735676088617,1.19373567608862,"1","NA",1.38747135217723,"Predation rates",14.4654088050314,1.14465408805031,1.14465408805031,"NA","NA","NA","Mix-Win"
292,539,"Sharma A.R., Behera U.K.",2009,"Recycling of legume residues for nitrogen economy and higher productivity in maize (Zea mays)-wheat (Triticum aestivum) cropping system","Sharma, A., Sharma, J. J., Rana, M. C., & Sood, S. (2006). Evaluation of Phaseolus vulgaris as intercrop with vegetables for enhancing productivity system and profitability under high hill dry temperate conditions of north-western Himalayas. Indian Journal of Agricultural Sciences, 76(1), 29-32.","Plot","Experiment (research station)","India","Asia","LMIC","Synthetic - below threshold","irrigation",-4.5131,0.954869,"NA","NA",0.954869,"Carbon",-4.2735,0.957265,0.957265,"NA","Negative","NA","Mix-Mix"
